id,origin_depot_id,destination_depot_id,fee,distance_km,created_at,updated_at
0085ff3c-2f9d-4007-afcb-5c3ee6e72b77,288f81f9-3b22-4e9c-be2b-2dc52d0f3b29,e0228558-58ba-4d45-a257-b7b4d171f06e,5720000.00,1104.07,2025-06-19 06:32:26.239791+00,2025-06-19 06:32:26.239791+00
009917a2-17d3-4425-a35d-3e5ff0d776ff,288f81f9-3b22-4e9c-be2b-2dc52d0f3b29,2028d662-e7e4-4c3c-94ee-4c0648b71f1c,930000.00,146.04,2025-06-19 06:32:26.174886+00,2025-06-19 06:32:26.174886+00
00a826cd-fbd5-40d1-bfe8-949823ac44a6,6553f989-77e9-4459-a327-a8f21d0c52b3,4fc4a6ab-d018-482d-bfe4-275a66531e86,467000.00,53.46,2025-06-19 06:32:26.61337+00,2025-06-19 06:32:26.61337+00
0134573a-04fc-4e69-8b0a-873e5776ec42,cd61344a-92b2-40dc-bc3a-9dcfcaab94ee,d0122a69-7fdb-4d0b-962d-b33cff0c7ea1,1450000.00,250.02,2025-06-19 06:32:26.871537+00,2025-06-19 06:32:26.871537+00
013daa13-9049-46dd-b20e-bb254e1a7948,2b7bd9fc-f236-48cb-8667-ad62c2eb4a01,d4d45641-60ba-468d-ac8f-d7012e5a9cdf,350000.00,15.68,2025-06-19 06:32:26.239791+00,2025-06-19 06:32:26.239791+00
0210302d-12dd-4228-a025-7e40119af1da,43bd4be6-9cce-48a9-a3cc-09f8ee7596c2,7c69d43b-f991-45bc-8f71-c28076888f37,6321000.00,1224.17,2025-06-19 06:32:26.61337+00,2025-06-19 06:32:26.61337+00
0293f00f-4176-439e-b202-808a80ee8ec2,f462ddec-0f01-46ff-ab43-5b20ef20355b,288f81f9-3b22-4e9c-be2b-2dc52d0f3b29,5733000.00,1106.56,2025-06-19 06:32:26.929687+00,2025-06-19 06:32:26.929687+00
03042e0a-f8b7-41c2-9c61-0bde4c9c8460,14a5a813-5a82-42e7-bf9c-6531d9079476,2028d662-e7e4-4c3c-94ee-4c0648b71f1c,6548000.00,1269.65,2025-06-19 06:32:26.174886+00,2025-06-19 06:32:26.174886+00
03988d9e-56e7-42c1-9ac4-7c1f6b712ab2,968c5794-75e4-4ba4-9939-a234dde8d84d,a2dbd7dc-34da-4bf1-bb57-b7bcd3b014da,5870000.00,1133.94,2025-06-19 06:32:26.746933+00,2025-06-19 06:32:26.746933+00
0410c74c-0be9-4f75-8a52-0caceabf81e7,79531671-cb34-42f7-8c43-e544bfe2e4bf,14a5a813-5a82-42e7-bf9c-6531d9079476,3483000.00,656.66,2025-06-19 06:32:26.678627+00,2025-06-19 06:32:26.678627+00
044bdb5d-efa2-4650-b0ea-7cda7a2be79e,9a0fe470-d3ae-4a51-ae3b-217db367b329,7c69d43b-f991-45bc-8f71-c28076888f37,5896000.00,1139.22,2025-06-19 06:32:26.746933+00,2025-06-19 06:32:26.746933+00
04a88396-e330-4e5e-bce3-a17b7e0ddaf2,e231c92f-f237-40ba-8b35-9040bb3f6e23,14a5a813-5a82-42e7-bf9c-6531d9079476,6045000.00,1169.00,2025-06-19 06:32:26.929687+00,2025-06-19 06:32:26.929687+00
05122734-cc52-427c-b7bb-182d8733a56d,814cde2d-95b2-41fc-8ed0-271ba2170968,814cde2d-95b2-41fc-8ed0-271ba2170968,0.00,,2025-06-19 06:32:26.678627+00,2025-06-19 06:32:26.678627+00
053848f0-75b9-4d65-bfe7-377b10f97be1,814cde2d-95b2-41fc-8ed0-271ba2170968,a2dbd7dc-34da-4bf1-bb57-b7bcd3b014da,350000.00,25.07,2025-06-19 06:32:26.678627+00,2025-06-19 06:32:26.678627+00
05437bc4-355f-4610-83aa-9a3f5fec581f,366ff3a9-430e-4055-af48-9d674e4aaf15,288f81f9-3b22-4e9c-be2b-2dc52d0f3b29,5728000.00,1105.64,2025-06-19 06:32:26.239791+00,2025-06-19 06:32:26.239791+00
0598ee1e-4416-4dce-beb9-46233797b8fc,968c5794-75e4-4ba4-9939-a234dde8d84d,8f1c804e-0382-4f7f-8229-dda365aba5a2,5931000.00,1146.20,2025-06-19 06:32:26.746933+00,2025-06-19 06:32:26.746933+00
062bd61c-400e-4988-a902-2f8bfab35c4c,366ff3a9-430e-4055-af48-9d674e4aaf15,d0122a69-7fdb-4d0b-962d-b33cff0c7ea1,747000.00,109.30,2025-06-19 06:32:26.239791+00,2025-06-19 06:32:26.239791+00
0667e665-f1c1-42a7-b1fc-0ee2181ad100,3018212c-4657-445f-8226-9f11513c4879,a2dbd7dc-34da-4bf1-bb57-b7bcd3b014da,3318000.00,623.64,2025-06-19 06:32:26.239791+00,2025-06-19 06:32:26.239791+00
06c2816c-280c-4835-81e3-97743ee8892a,4fc4a6ab-d018-482d-bfe4-275a66531e86,e0228558-58ba-4d45-a257-b7b4d171f06e,5721000.00,1104.19,2025-06-19 06:32:26.61337+00,2025-06-19 06:32:26.61337+00
