Depot Gốc / Depot Đích,"ICD Hải Linh","ICD Hoàng Thành","Cảng Lee & Man","Bình Dương Port","ICD Tân Cảng Sóng Thần","Gemadept  Đà Nẵng","VIP Green Port","Cảng Cái Cui Cần Thơ","Solog Depot","ICD Thanh Phước","ICD Tân Cảng Hà Nam","Viconship Đà Nẵng","ICD Long Biên","ICD Tanamexco","ICD Phú Mỹ 1","ICD Tân Cảng Hải Phòng","ICD Phước Long 3","ICD Tân Cảng Nhơn Trạch","ICD Tân Cảng Long Bình","ICD Gia Lâm","ICD Transimex","ICD Km3+4 Móng Cái","ICD Phúc Lộc – Ninh Bình","ICD Tân Cảng Quế Võ","Cảng Cát Lái","ICD Nam Đình Vũ","ECS Depot Biên Hòa","ICD Đình Vũ – Quảng Bình"
"ICD Hải Linh",0,949000,6548000,6051000,6058000,3465000,952000,6499000,6054000,5899000,743000,3483000,515000,6073000,6260000,894000,6098000,6191000,6043000,522000,6083000,1507000,889000,573000,6136000,975000,6045000,960000
"ICD Hoàng Thành",949000,0,6286000,5730000,5734000,2941000,150000,6238000,5731000,5603000,673000,2962000,646000,5747000,5920000,350000,5773000,5860000,5709000,638000,5758000,908000,746000,577000,5811000,150000,5714000,150000
"Cảng Lee & Man",6548000,6286000,0,930000,944000,3879000,6284000,150000,941000,923000,6071000,3856000,6369000,940000,957000,6290000,923000,912000,1020000,6368000,930000,6720000,5915000,6421000,903000,6278000,1001000,6290000
"Bình Dương Port",6051000,5730000,930000,0,150000,3215000,5728000,902000,150000,453000,5553000,3192000,5850000,150000,457000,5739000,350000,357000,350000,5848000,150000,6122000,5396000,5894000,350000,5720000,350000,5733000
"ICD Tân Cảng Sóng Thần",6058000,5734000,944000,150000,0,3213000,5732000,917000,150000,476000,5559000,3189000,5856000,150000,438000,5743000,150000,350000,350000,5854000,150000,6123000,5402000,5900000,350000,5724000,350000,5737000
"Gemadept  Đà Nẵng",3465000,2941000,3879000,3215000,3213000,0,2939000,3837000,3211000,3156000,2922000,150000,3192000,3224000,3357000,2967000,3248000,3318000,3167000,3188000,3234000,3188000,2777000,3203000,3283000,2925000,3177000,2940000
"VIP Green Port",952000,150000,6284000,5728000,5732000,2939000,0,6237000,5729000,5602000,674000,2960000,649000,5746000,5918000,350000,5772000,5858000,5707000,641000,5756000,907000,747000,580000,5809000,150000,5712000,150000
"Cảng Cái Cui Cần Thơ",6499000,6238000,150000,902000,917000,3837000,6237000,0,914000,882000,6023000,3814000,6321000,914000,944000,6242000,898000,894000,996000,6320000,905000,6674000,5867000,6373000,881000,6231000,975000,6242000
"Solog Depot",6054000,5731000,941000,150000,150000,3211000,5729000,914000,0,467000,5555000,3188000,5852000,150000,446000,5740000,150000,350000,350000,5850000,150000,6121000,5398000,5896000,350000,5721000,350000,5733000
"ICD Thanh Phước",5899000,5603000,923000,453000,476000,3156000,5602000,882000,467000,0,5409000,3133000,5707000,489000,705000,5610000,505000,601000,540000,5705000,492000,6018000,5252000,5754000,533000,5595000,521000,5607000
