id,origin_depot_id,destination_depot_id,distance_km,road_distance_km,fee,created_at,updated_at
00d6fae8-211f-4cd3-afd5-b7ec0959a01f,2b7bd9fc-f236-48cb-8667-ad62c2eb4a01,8abc701d-83db-485c-bb90-eea9da904eba,4.11,6.17,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
0154ba10-d24a-4990-9db7-94dd282c3661,1bf4bb87-9e44-4beb-b337-1f45a58fd731,eae42269-bdb6-44ae-a5b9-41117e26abcd,1126.03,1689.04,5467120,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
020964c7-1298-430e-ac90-970f1409930e,14a5a813-5a82-42e7-bf9c-6531d9079476,8abc701d-83db-485c-bb90-eea9da904eba,1167.63,1751.44,5654320,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
03542913-d345-438f-b9c2-6876b578a6a6,2028d662-e7e4-4c3c-94ee-4c0648b71f1c,61f2a716-e5ed-41de-ab08-6e01637c5b51,149.63,224.44,1073320,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
03a54571-5131-47f1-befd-3266bb90f683,3018212c-4657-445f-8226-9f11513c4879,3bc2f4dd-ce0c-4d54-b477-f7e98bf73963,602.52,903.78,3111340,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
045c666b-d711-4e7f-9297-2f380dccacba,1bf4bb87-9e44-4beb-b337-1f45a58fd731,5c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c1,1.94,2.91,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
04fcf799-6706-47d7-8f1d-0649ec495739,2b7bd9fc-f236-48cb-8667-ad62c2eb4a01,24521324-b93c-4354-911f-b7ef3b2c257c,598.64,897.97,3093910,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
05312a68-aaef-4567-a405-8b78be992f51,968c5794-75e4-4ba4-9939-a234dde8d84d,61f2a716-e5ed-41de-ab08-6e01637c5b51,1108.18,1662.27,5386810,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
0541faaa-440d-46d9-aff9-66a72f443f4b,6553f989-77e9-4459-a327-a8f21d0c52b3,b3c0323f-abba-423d-ad11-b6d9474080db,1080.71,1621.07,5263210,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
0555fb94-1ec1-4bed-95f6-c117ccdd7825,d2903cf6-dbdf-4a75-8ce7-93e3b0092e49,5c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c1,76.91,115.37,661480,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
